,img_pos,texts
10,50,"['A clean bathroom is seen in this image.', 'A bathroom with a white toilet and large shelf full of stuff.', 'some shelves filled with a bunch of different items in the bathroom\n', 'A shelving unit is between a toilet and a bathroom sink. ', 'A shelf with hygiene products in a bathroom.\n']"
11,55,"['A young man wearing black attire and a flowered tie is standing and smiling.', 'A man with glasses and his eyes closed dressed in a black shirt and a necktie.', 'A man in a green tie with his eyes closed.', 'Smiling man wearing black shirt and pale green tie.', 'A person that is dressed up very nicely.']"
12,60,"['Black and white photograph of two men on motorcycles.', 'Two people riding a motorcycle with hats and backpack down a street.', 'Two men are at an intersection on motorcycles.', 'The man are driving side by side on their motorcycles. ', 'Two men on motorcycles at a stop light']"
13,65,"['A row of motorcycles parked in front of a building.', 'A bunch of motorcycles parked on the side of the road', 'a back ally neighborhood with motor bikes in a row', 'A number of motorbikes parked on an alley', 'a bunch of motorcycles parked along the side of the street ']"
14,70,"['A fluffy white chair that faces away fro a television.', 'A pillow covered reading chair in the corner of the living room', 'The living room is empty with the television on. ', 'White ornate seat in nicely decorated room with television.', 'A white chair, books and shelves and a tv on in this room.']"
15,75,"['A painting of a table with fruit on top of it.', 'Painting of oranges, a bowl, candle, and a pitcher', 'a painting of fruit and a candle with a vase', 'A painting of a candlestick holder with a candle, several pieces of fruit and a vase, with a gold frame around the painting.', 'A painting that has a gold frame on it.']"
16,80,"['Vegetables are displayed in a wooden barrel outdoors.', 'A bunch of bananas are sitting on the stand.', 'The cart has bananas or plantains piled on it. ', 'a box of green bananas and a box of ripe bananas ', 'A large number of green and yellow bananas in wooden containers.']"
17,85,"['A motorbike sitting in front of a wine display case', 'A motor bike and some wine in a room.', 'A dirt bike sitting on a counter by some wine bottles.', 'a motorcycle standing in front a winery ', 'A bike sits among bottles of wine on a shelf. ']"
18,90,"['A large jetliner sitting on top of an airport runway.', 'Airline employees by an aircraft parked at the gate', 'The plane is parked at the gate at the airport terminal.', 'View from gate of jet connected to jet way for passengers to board or deplane', 'A large white airplane and a person on a lot.']"
19,95,"['An airport filled with planes sitting on tarmacs.', 'The view of runway from behind the windows of airport.', 'a truck driving towards some planes parked on the runway', 'Planes on a wet tarmac unloading at arrival gates.', 'Window view from the inside of airplanes, baggage carrier and tarmac. ']"
20,100,"['A small blue plane sitting on top of a field.', 'an E2 airplane painted blue with black and white stripes ', 'An old warplane is on display in a field.  ', 'a blue small plane standing at the airstrip', 'Model airplane with an American insignia and stripes on wings.']"
21,105,"['A motorcycle sits parked across from a herd of livestock.', 'A motorbike, people and sheep in the background', 'A motorcycle parked on top of a sandy beach.', 'A motorcycle in the foreground parked in a dirt parking lot', 'A multicolored motorcycle rests outside of a sheep farm.']"
22,110,"['A large white dog is sitting on a bench beside an elderly man.', 'A large white dog sits on a bench with people next to a path.', 'A large dog sits just his bottom on a park bench.', 'A dog sitting on a bench next to an old man.', 'A couple of people sitting on a bench next to a dog.']"
23,115,"['A couple of traffic lights sitting under a cloudy sky.', 'a street light has the red lights glowing', 'The traffic lights are clearly visible for all of us to see. ', 'a pole with a stop lights attached to it', 'two sets of street lights attached to a pole ']"
24,120,"['An eating area with a table and a few chairs.', 'Table situated in corner of room with a vase for a center piece', 'A wooden table sitting below a bunch of windows.', 'A dining room table next to windows overlooking woods', 'A wooden dining table is surrounded by windows.']"
25,125,"['A little girl in a pink shirt standing near a blue metal sculpture.', 'People are standing outside in a busy city street.', 'Woman taking a picture of someone standing behind a sculpture and a child pushing another woman towards the sculpture. ', 'People in a inner city courtyard watching a performance. ', 'A woman snaps a photo of people having fun in the courtyard.']"
26,130,"['A herd of sheep standing on top of snow covered field.', 'Several sheep grazing in a field of tall grass in front of a building.', 'Group of sheep and mountain out front of old house.', 'A flock of sheep standing around in the middle of a pen.', 'Sheep are grazing in a snow dusted field. ']"
27,135,"['A flock of small birds flying in the sky over the water.', 'Several birds that are flying together over a body of water.', 'A flock of birds flying over a field.', 'A black and white image showing birds flying over a body of water.', 'A group of birds flying over the water']"
28,140,"['A swan is floating down the river by the boat.', 'A boat with flags and tents is docked next to a grassy bank.', 'A boat that is decorated with flags on the water. ', 'a parked boat with some items inside of it ', 'A large red boat sitting next to a lush green shore.']"
29,145,"['A giraffe grazing on a tree in the wilderness with other wildlife', 'Several giraffes eating leaves from the ground and tree.', 'Two giraffes and another animal in a field.', 'Several giraffe eating the leaves from neighboring trees.', 'Giraffes are feeding on the trees and grass.']"
30,150,"['there are blue lights shining threw palm trees ', 'A fire hydrant pouring water from it with a neon blue glow to it.', 'Reflections of light streaming thru a building window at night.', 'a fire hydrant on a city street ', 'A yellow fire hydrant that is on the side of the street.']"
31,155,"['A bird in a pot eating a fruit.', 'a black bird is eating an apple in a pot of dirt', 'there is a black bird standing in a flower pot eating an apple', 'A bird in a flower pot eating an apple', 'A black bird sits in a flower boy.']"
32,160,"['A tall massive clock tower towering over a city.', 'A couple of street signs hanging on a pole', 'An old black and white photo of Pennsylvania Avenue.', 'A large stately building is adorned with steeple and a tower.', 'The large ornate building with the clock tower and cupolas sits on the Pennsylvania Avenue and 11th St.']"
33,165,"['Two ducks floating together on a body of water. ', 'Two ducks are swimming in the green colored pond.', 'Two Canadian geese swim in a green pond.', 'Two ducks swim in a pond with green water.', 'Two swam swimming next to each other on a lake.']"
34,170,"['A large wooden pole with a green street sign hanging from it.', 'street signs on the corner of Gladys and Detroit', 'The signs give the street names and show where to park.', 'A wooden utility pole sports several street signs.', 'The street signs for Gladys and Detroit streets are attached to a wooden pole.']"
35,175,"['a ram is looking at the camera and standing on some grass', 'A large sheep bends his head towards some grass', 'A very large sheep is standing in the grass.', 'A sheep looks at the camera, by the side of the road.', 'A woolly sheep stands in the grass looking at the camera. ']"
36,180,"['A man with a snowboard next to a man with a mask.', 'Man with snowboard standing next to another wearing a mask and crazy hands.', 'A man holding a snowboard next to a man in scary costume.', 'A man wearing a mask with a sbowboarder.', 'Snowboarder holding a pink board being hugged by man in costume. ']"
37,185,"['Many different signs cover a post next to a bus stop.', 'A bus stop with advertising signs attached to a pole nearby.', 'Street signs clutter a pole on an empty street.', 'A street signs and board at a road junction near a building', 'Many posters are placed on the pole across the street from houses.']"
38,190,"['A cow standing near a curb in front of a store. ', 'There is a cow on the sidewalk standing in front of a door. ', 'A cow on the sidewalk on a corner in front of a store ', 'Cow standing on sidewalk in city area near shops.', 'A cow on a city sidewalk in front of a business.']"
39,195,"['The animal is standing by the booth at the event.', 'A brown cow standing next to a store with lots of water.', 'A cow is standing in front of a shop.', 'A bull standing in front of a street vendor .', 'a brown and white ox a motorcycle and a shop']"
40,200,"['a cat that is eating some kind of banana', 'A person feeding a cat with a banana', 'A house cat is taking a bite from a banana.', ""A cat eating a banana from someone's hand "", 'A cat feeding on a banana with a person feeding it to it.']"
41,205,"['A gray tiger cat sitting at a wooden table on a chair.', 'A grey cat sitting in chair next to a table.', 'A cat sitting in a chair pulled up to a table.', 'A cat sitting in a chair at a table with a book on it.', 'A cat sitting in a chair by a table.']"
42,210,"['two cows outside one laying down and the other standing near a building ', 'The white scared cow in a Tibetan city.', 'A cow standing in a grassy open field.', 'A herd of cattle sitting and standing on a lush green field.', 'There white cows in grassy area with temples in background.']"
43,215,"['Two cows grazing on grass in a field by a house.', 'A white faced cow stands in the tall grass.', 'Cows standing in a grassy meadow in front of a house.', 'a cow in a field near trees and bushes', 'a cow stands in the grassy area of a yard ']"
44,220,"['An image of a very cute girl with face piercings.', 'Painting of girl that has multiple piercings on face', 'A young brunette woman with multiple face piercings.', 'A young woman with green eyes and piercings all over her face.', 'A drawing of a young woman with many facial piercings.']"
45,225,"['Several elephants are in a habitat as heads are in the foreground.', 'A small gray elephant  standing in an exhibit at a zoo.', 'People are watching four elephants in a zoo.', 'Several elephants in zoo enclosure with onlookers watching.', 'An elephant in a zoo stands in front of the crowd.']"
46,230,"['An elephant standing under the shade of a tree.', 'An elephant standing in the middle of a rocky environment.', 'An elephant is alone in a wooded enclosure.', 'An elephant standing in a shaded cleaning in a wooded area.', 'An elephant walks alone past some big rocks boulders in an open field']"
47,235,"['Two kayaks, one pink the other yellow, on bank of water. ', 'Two kayaks rest on the shore of a body of water.', 'Two kayaks sitting on the shore of a body of water.', 'Two kayaks are shown on the shore. ', 'Two kayaks are sitting on a river bank empty.']"
48,240,"['A blue boat docked on a green lush shore.', 'A  small marina with boats docked there', 'a group of boats sitting together with no one around', 'Some boats parked in the water at a dock', 'boats sitting around the side of a lake by a tree']"
49,245,"['An elephant and a rhinoceros stand not far from each other.', 'A rhino is near an elephant near a water hold in the forest.', 'An elephant and a rhinoceros share a field with a pond.', 'An elephant and a rhino are grazing in an open wooded area.', 'An elephant walking not to far from a rhino in a forest.']"
50,250,"['A woman embracing a child carrying a bag of luggage.', 'Woman hugging a small girl with green and blue luggage. ', 'A woman hugging a girl who is holding a suitcase.', ""A woman with her arms around a girl who's holding a suitcase."", 'An adult and child standing with a suitcase.']"
51,255,"['A pinup-style photo of a woman sitting on a luggage trunk.', 'A women is waiting while sitting on a large trunk', 'a woman shades her eyes while sitting on a chest ', 'A woman sits on a luggage case on a sidewalk. ', 'A woman sitting on a trunk wearing a polka dot dress with a red belt.']"
52,260,"['A woman sitting on a piece of luggage in a field.', 'a woman sits on a brief case in the woods ', 'A girl with a lot of tattoos sitting on a a piece of luggage.', 'A woman with lots of tattoos sits on a suitcase in a forest. ', 'Lady with arm full of tattoos sitting on her suitcase.']"
53,265,"['Young boy sitting on top of a briefcase', 'A young baby sits on top of a briefcase.', 'A little boy sitting on a suitcase on the floor.', 'A small child sitting on top of a briefcase.  ', 'A toddler boy is sitting on a brief case.']"
54,270,"['A golden retriever laying down on the side of a pool.', 'A large brown dog laying next to a blue pool.', 'A golden retriever sleeps at the edge of the pool.', 'A swimming pool in a yard that has a cinderblock wall all the way around it and a dog sitting at the edge of the pool.', 'A dog laying down next to a pool in a backyard.']"
55,275,"['Two women walking side by side holding umbrellas.', 'an image of two girls walking with umbrellas', 'Two girls are each carrying an umbrella walking.', 'Two young girls walking in front of a building, holding umbrellas.', 'A couple of kids walking with umbrellas in their hands.']"
56,280,"['Shaggy dog gets dinner served on a plate.', 'A small black dog standing over a plate of food.', 'A small dog eating a plate of broccoli.  ', 'A black dog being given broccoli to eat.\n', 'There is a dog staring at a plate of food']"
57,285,"['A person on the beach next to the ocean. ', 'there is a man that is running in the sand on a beach', 'A man in a wetsuit running on the beach.', 'A person is running on a clear, flat beach.', 'A person running a long a beach when it is almost empty.']"
58,290,"['a person and a dog are standing near some cliffs', 'A person walks with a backpack being followed by a dog.', 'A hiker and dogs are walking in a canyon.', 'A person walks along on a patch of sand near some rocks.', 'A person walking across a desert filled surrounded by mountains.']"
59,295,"['A close up of a zebra foraging on some grass', 'A zebra grazing on long dry grass in a field.', 'THERE IS A BLACK AND WHITE IMAGE OF A ZEBRA EATING GRASS', 'A zebra grazes on grass in a grassy field.', 'A black and white photograph of a zebra grazing.']"
60,300,"['A zebra is standing outside in the snow', 'One zebra standing in snow near a stone wall.', 'A zebra is standing in a snowy field.', 'A zebra stands in snow in front of a wall. ', 'A zebra standing alone in the snow with a stone block wall and wooden fence behind it.']"
61,305,"['An antilope is eating grass in between two zebra.', 'Several zebras eat the green grass in the pasture.', 'Two zebras and another animal grazing in the grass.', 'Three zebra in the middle of a field with a body of water in the distance.', ""Three Zebra's eating grass as they walk. ""]"
62,310,"['Two zebras fighting in a cloud of dust', 'Two zebras fighting in a open area with green bushes.', 'Two zebras are battling each other on hind legs.', 'Two zebra having a fight on top of a dry grass field.', 'Two zebras in a jungle area fighting in a dirt area.']"
63,315,"['Horse figurines next to walk on a table.', 'A set of three different plastic horse figurines.', 'Three different horse figurines are placed beside each other. ', 'Three plastic horse figurines standing next to each other on a shelf.', 'Three model horses on a table in front of a pegboard backdrop.']"
64,320,"['A woman standing in front of a brown horse.', 'A young woman in a leather coat about to pet a horse', 'A woman is standing next to a black and white horse.', 'A woman is feeding a horse at a ranch.', 'a woman going to touch a horse in a field']"
65,325,"['A man riding a horse with trees and buildings in background.', 'A rider gallops on his horse in the grass.', 'A horseback rider is somewhat in the background of the field. ', 'A man riding a horse during a jumping competition. ', 'A person on a horse on a field with a building in the background.']"
66,330,"['A man in black leading an all white horse', 'Mythical character with white horse standing on grooved surface.', 'A white horse with blue haunches stands next to an elegantly dressed, black-haired man holding a sword.', 'A person with a horse and a sword.', 'a couple of small figures of a man and a horse']"
67,335,"['A try with a banana and two oranges visible on it', 'Banana and oranges on a lunch try next to bowls.', 'a white tray with a banana and two tangerines and a plate and bowl', 'A banana sits by two oranges, a bowl and a white plate on a white tray.', 'a banana and two oranges sit on a tray next to a bowl and a plate']"
68,340,"['A group of children playing baseball out side.', 'Group of children with baseball gloves throwing balls back and forth.', 'Some children are playing softball on a field.', 'this is a group of children playing baseball', 'A group of kids that are standing in the grass.']"
69,345,"['A person wearing a banana headdress and necklace', 'A lady dressed in a blue and purple outfit wearing a hat made of fruit.', 'A person wearing a hat made out of yellow bananas.', 'Person with bananas on head and banana necklace.', 'A woman wears a hat that is made of bananas']"
70,350,"['A man in hat made of bananas standing in room by men.', 'A man wearing a colorful outfit and a hat made of bananas.', 'A man that has bananas on his head and shoulders.', 'a man wearing a plastic banana hat and necklace', 'A smiling guy with a very funny looking hat of bananas.']"
71,355,"['A baseball player preparing to throw a pitch during a game.', 'A man that is standing in the dirt with a glove.', 'A baseball player lunges and reaches back with the ball.', 'A baseball player pitching a baseball on top of a field.', 'A man in a Rays uniform is throwing a baseball']"
72,360,"['Several slices of bread with side salads on a table.', 'A table with a plate of cut pizza, two plates of salad, and a can of soda.', 'Three plates of food consisting of pizza, salads, rice and a can of cola', 'Several plates of food including fried dough and salads.', 'A meal containing soda, salad pizza and rice on a table.']"
73,365,"['A man riding skis on top of a snow covered slope.', 'An adult and child standing in the snow wearing jackets.', 'A man and little girl are on skis in the snow.', 'A man and a child skiing on a snowy plain.', 'a person riding skis on a snowy surface ']"
74,370,"['A small boy holding a plate of tasty looking food.', 'Boy holding bowl of ice cream sundae up', 'A child holding up a red plate full of foo.', 'A young man holding a pale of sweet treats.', 'A boy showing off a bowl with an ice cream sundae.']"
75,375,"['A girl is skateboarding down the Hollywood walk of fame.', 'A woman who is skateboarding down the street.', ""A woman with glasses and a scarf skateboards along Hollywood's Walk of Fame."", 'lady in front of a store standing on a pink skateboard', 'A woman is riding her skate board down the sidewalk.']"
76,380,"['Youngster on a skateboard, trying simple tip up stunt.', 'Young skateboarder displaying skills on sidewalk near field.', 'A person on a skateboard on a street.', 'A young boy is performing tricks on a skateboard.', 'a little boy that is jumping a skateboard']"
77,385,"['Two men on skateboards on  the pavement', 'Two young skateboarders are skating near each other.', 'Two young men riding skateboards on a sidewalk.', 'There are two men riding on their skateboards', 'A man and a boy traveling on skateboards.']"
78,390,"['Two men riding snowboards in a snow storm down a slope.', 'Two people are snowboarding down a hill fast', 'Two men use their snowboards to go down a snowy incline.', 'two snow boarders skiing down a mountain ', 'Two men snow boarding and laughing together on the mountain ']"
79,395,"['A little girl posing for a picture while eating food.', 'Little girl smiles for the camera as she eats her sandwich', 'A young girl smiles while enjoying her meal.', 'An Asian child eating a hot dog sitting at a table. ', 'A girl eating a hotdog at a wooden table.']"
80,400,"['A young boy holding a snow board and a pair of shoes.', 'A boy is holding his shoes and a snowboard.', 'A guy smiling, wearing a blue jacket, holding a snowboard. ', 'A young man looks delighted with his shiny snowboard.', 'Getting geared up to do a little snow boarding.']"
81,405,"['Assortment of doughnuts and other snack items on a serving tray.', 'there are many different sweets and donuts on display', 'A display case at a bakery with different items. ', 'A glass bakery case with pastries and several kinds of doughnuts.', 'Donuts and pastries sit on trays in a store.']"
82,410,"['A little boy sitting on a wooden bench eating half a sandwich.', 'a small boy with a green shirt is eating a sandwich', 'A young boy sitting on a bench with a sandwich. ', 'A little boy holding half a sandwich in each hand.', 'A boy is holding a sandwich up to his face.']"
83,415,"['Muffins and other pastries on display ground and purchase', 'a bunch of baked goods in a plastic shelf', 'a bunch of pastries that are in a clear case', 'Various muffins and pastries on trays inside plastic cabinets', 'Various muffins and pastries lined up in plastic cabinets', 'Different types of types of pastries sitting on display together. ']"
84,421,"['A meal at a restaurant of a salad, a toasted sandwich and a pickle', 'A plate of food containing a sandwich and a salad.', 'A grilled cheese sandwich with a side of salad and a pickle', 'A plate with a sandwich and a pickle', 'there is a sandwich and lettuce on a plate']"
85,426,"['A table with a coffee and a salad on it.', 'A deli lunch for two on a table with drinks', 'A sandwich wrapped in a bag, a to-go coffee cup and a drink sits on top of a white table.', 'A sandwich and two coffees sitting on a table.', 'In-flight meal of a bagged sandwich and drinks']"
86,431,"['A bunch of doughnuts with sprinkles on them', 'Tray of chocolate donuts with sprinkles in a display case.', 'Donuts on a tray in a display case ', 'A display of yummy looking chocolate covered donuts with sprinkles.', 'A tray full of sprinkle covered, chocolate glazed doughnuts.']"
87,436,"['A basket ball player is posing in front of a basket.', 'A uniformed boy is holding a basketball with his back to the hoop.', 'A young man in a green jersey is holding a ball.', 'A basketball player holds a basketball for a picture.', 'A person with a basketball stands in front of a goal.']"
88,441,"['A woman standing in a set suit on a beach holding a surfboard.', 'Woman wearing all black holding up a white surfboard. ', 'A female surfboarder dressed in black holding a white surfboard.', 'a woman wearing a wet suit is holding a white surfboard', 'Surfer on a black sand beach holding her board']"
89,446,"['A man getting ready to kick a soccer ball.', 'A man that is on a soccer field with a ball.', 'A man carrying a soccer ball down a field.', 'there is a man running on a field with a soccer ball', 'The soccer player is bringing back the ball into play.']"
90,451,"['Young boy riding large breaking wave in open ocean.', 'THIS IS A BLACK AND WHITE PHOTO OF A SURFER', 'The surfer in the black and white photo is on a huge wave. ', 'A child rides a wave on a surfboard.', 'A young child catching a wave while surfing.']"
91,456,"['A man kicking a soccer ball whle standing on a field.', 'A man kicking a soccerball at a group of people on a field.', 'A group of men are playing soccer on a field.', 'There are two soccer teams playing a game on the field', 'four soccer players in white uniforms one in orange']"
92,461,"['A woman standing over a pan filled with food in a kitchen.', 'A woman smiling while she prepares a plate of food. ', 'a smiling woman standing next to a plate of food she made ', 'A woman in a bright pink summer shirt smiles and displays a party platter she has made. ', 'a person standing in front of a counter top and a tall pile of food']"
93,466,"['A baby in plaid shirt eating a frosted cake.', 'The young is enjoying his cake so much its all over him. ', 'A toddler eats cake with his hands in his high chair.', 'A toddler is getting messy while eating his cake. ', 'Baby boy at the table eating cake frosting off his hand.']"
94,471,"['A man instructing a group of kids on a soccer field.', 'A soccer coach is instructing the children on the field.', 'A group of young children standing around a field.', 'Dad coaches talking to the little soccer team players on the field', 'Pair of adult males with group of small children with soccer balls.']"
95,476,"['Man sitting at a small table behind a pizza.', 'A man sitting at a table with lots of food in front of him.', 'Friends about to enjoy fresh pizza and coffee at a restaurant', 'The Asian man is deciding what to eat on the plate.', 'A man sits at the table with a large pizza on it.']"
96,481,"['A picture of a young boy laying on top of a bed.', 'Boy sleeping with no blanket in a large bed. ', 'A young boy sleeping on the side of his bed.', 'A young boy sleeping on floral printed sheets', 'A boy asleep on a large bed under a mosquito net']"
97,486,"['A picture of a recently married couple displayed behind glass.', 'A photo of a man and his wife on a bed', 'A picture of a couple that just got married lying in a bed.', 'The picture of the couple in bed is displayed in the large window.', 'a man and a woman are laying in a bed']"
98,491,"['An Italian dish is presented on a white plate.', 'Baked pizza with red tomatoes and green olives.', 'A plate of food cut into slices has onions and olives on it.', 'a pizza sliced in four slices on a plate', 'ONIONS, TOMATOES AND OLIVES ATOP A PLATE ON A TABLE']"
99,496,"['the two racquets are close to being identical.', 'a bunch of tennis rackets are tangles together ', 'a couple of tennis rackets are laying together', 'Two tennis rackets next to each other on a table. ', 'One tennis racket is place on top of the other one.\n']"
100,501,"['A young girl eating a slice of pizza.', 'A young girl with a green jacket eating a piece of pepperoni pizza.', 'A girl takes a bite of her pepperoni pizza. ', 'A little girl eating a slice of pizza in a room.', 'Small girl in green shirt holding a slice of pizza to her face. ']"
101,506,"['A  young woman holding a giant tennis racquet ', 'A pretty young woman holding a giant tennis racquet.', 'The girl is smiling, holding a gigantic tennis racket.', 'an image of female tennis player holding a racket', 'A girl is holding a novelty tennis racket in a very large size.']"
102,511,"['A vegetarian pizza is half eaten on a pizza holder. ', 'A couple of pieces of pizza with vegetable slices on them.', 'A wooden pan serving tray with a pizza on it.', 'A pizza on a cutting board is half gone.', 'A Pizza is nearly finished with only three pieces left. ']"
103,516,"['A brown sofa and ottoman with pillows and remotes.', 'A small oval orange couch and ottoman with pineapple pillows.', 'A couch and ottoman are shown with remotes.', 'a small couch overed with blankes and pinapple designed pillows\n', 'a brown sofa with pineapple pillows and and ottoman with two remotes on it']"
104,521,"['A child leans into the camera brushing their teeth. ', 'A young girl is lathered up with toothpaste.', 'Young person brushing their teeth with lots of toothpaste', 'A young girl brushing her teeth with a toothbrush and tooth paste.', 'The girl is brushing her teeth and toothpaste and it is foaming up.']"
105,526,"['A LITTLE ROOM AND DINING ROOM AREA WITH FURNITURE', ' a living room with a big table next to a book shelf ', 'A living room decorated with a modern theme. ', 'a living room with wooden floors and furniture', 'The large room has a wooden table with chairs and a couch.']"
106,531,"['A group of men sitting at desks with computers.', 'A group of young men sitting at a computer desk.', 'Four men of Middle Eastern descent are sitting in a computer lab and all are on a computer.', 'Men sit in front of computer screens all in a row', 'People are sitting at desks working on computers.']"
107,536,"['The kite surfer is walking on the beach holding the kite.', 'A man flying a kite over a sandy beach.', 'A man flying a kite while walking on the beach. ', 'A man carrying something and flying a kite with his other hand.', 'A man holding kite down by the ocean.']"
108,541,"['A man flying a blue kite in an open ground', 'A man flying a kite on top of a grass covered field.', 'A male flying a wing kite in an open field', 'a person flying a blue kite in an open field', 'A man attempting to launch a parachute style kite in a field']"
109,546,"['A dark skinned child getting ready to be pushed on a swing.', ""A girl getting pushed in a child's swing."", 'A man pushes a brightly smiling little girl on a swing.', 'a young girl on a swing being pushed by her dad', 'A man pushing a girl on a swing.']"
110,551,"['A kite flying through a  blue sky with a long tail.', 'A colorful kite is flying over the ocean.', 'A kite flying through the sky on a clear day.', 'a very pretty kite is flying high in the sky.', 'THERE ARE DIFFERENT KITES FLYING IN THE SKY']"
111,556,"['A clock that is on top of a pole.', 'A clock sitting in the middle of a sidewalk near a street.', 'A large clock on a post on the sidewalk.', 'The clock is at the center of the old town square was erected by the local bank.', 'A clock stands on the corner of a quiet street.']"
112,561,"['A baseball player holding a bat while standing in a field.', 'The men are playing a game of baseball on the field. ', 'A baseball player taking a swing at a ball', ""The batter's waiting to see if the ball is fair or foul."", 'Two baseball players and an umpire are standing on the field.']"
113,566,"['A guy squatting and holding a baseball bat at home plate.', 'A man standing on a field, holding a bat.', 'A baseball player taking a swing at a ball', 'A baseball player getting ready for a pitch at the plate.', 'A baseball player up at bat with the catcher behind him.']"
114,571,"['A man holding a baseball bat while standing next to home plate.', 'There is a baseball game going on the player is waiting to hit the ball, the umpire is at base.', ""There is dust coming out of the catcher's glove as a boy prepares to bat."", 'A catcher catches a baseball after a young kid swings and misses. ', 'The batter, catcher, and plate umpire are fixed on the pitcher.']"
115,576,"['A little boy in a baseball uniform holds the bat ready to swing.', 'A young boy posing with a baseball bat in hand', 'A young man poses for his baseball team picture.', 'a boy that has a baseball bat in hand', 'A boy in a baseball uniform is holding a bat.']"
116,581,"['A batter up at the plate in a baseball game ', 'A baseball player about to receive a pitch in a stadium full of people. ', 'Many fans are in a stadium watching a baseball game.', 'base ball players entertaining a crowd of spectators ', 'A batter at home plate waiting for a pitch.']"
117,586,"['A man hit something that exploded with a bat.', 'a person breadking a bottle with a baseball bat ', 'A boy in yellow shirt swinging a baseball bat.', 'A man bathing in the blood of his victims as he swings his battle bat.', 'The young man has hit the glass and the drink has exploded everywhere. ']"
118,591,"['A large pepperoni and mushroom pizza being cut', 'A person is slicing an oven bake pizza.', 'a close up of a person slicing pizza', 'A person cutting a pizza on a stove.', 'A person reaching for a pizza on a pan with various toppings.']"
119,596,"['A group of people that are standing on a tennis court.', 'A group of people who are on a tennis court.', 'a few people that are playing tennis on a court', 'A group of people standing on top of a tennis court.', 'some people standing on a tennis court holding tennis racketts']"
120,601,"['A guy in a maroon shirt is holding a tennis racket out to hit a tennis ball.', 'A man on a tennis court that has a racquet.', 'A boy hitting a tennis ball on the tennis court.', 'A person hitting a tennis ball with a tennis racket. ', 'A boy attempts to hit the tennis ball with the racquet.']"
121,606,"['A bunch of people sit in an open court yard', 'a small group of people standing around a ball patio ', 'A group of people walking around a parking lot.', 'A group of people in front of a white building', 'Many people on a courtyard under a clock.']"
122,611,"['there are three vases made of clay on a table', 'Three different pots sit near one another on a table.', 'Three hand formed clay pots with dripping paint', 'a purple mug is next to a bowl', 'Several pieces of pottery in the process of being painted.']"
123,616,"['A man in costume talking on a cell phone.', 'A man stands and talks on his cell phone.', 'A man in strange attire on a phone in a field', 'A big man speaks on a cell phone while at a vintage festival.', 'a man standing in a costume talking on a cell phone']"
124,621,"['A large crowd is attending a community fair.', 'A crowd of people walking in an outdoor fair.', 'A crowd of people at a festival type event in front of a clock tower.', 'The building has a clock displayed on the front of it. ', 'A festival with people and tents outside a clock tower.']"
125,626,"['A person brushing a cat with a brush.', 'A woman brushing her cat that is laying on a radiator.', 'A woman is brushing her large gray cat.', 'Cage sitting atop a heater looking out windowpane.', 'A woman that is sitting down near a cat.']"
